entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
1373,4,[59012.918 41797.832 37632.957  9020.341],[-2.1109638 -1.5423975 -1.9207233 -1.8073057],[-0.65758103 -2.7406535  -2.1700547  -3.0345507 ],[247184.94  102188.484 131195.97   28225.303],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 812.9723    -271.79584   -415.35742      1.3121643],9.575254654937743e-08,123.87083562760678
1375,4,[169562.27   96239.15   28962.578  25940.41 ],[ 0.15591438  0.6243544   0.46084175 -0.28935698],[1.4197319  0.88473046 1.6246142  1.5332407 ],[171627.4  115614.37  32092.86  27033.97],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[-612.8153  -806.0102   736.17505 1263.981  ],5.145712158032099e-08,122.65629911384802
1376,4,[63726.074 33350.965 25551.068 17099.303],[-1.0271343 -1.6477113 -1.6633116 -2.1006103],[-2.2357652   0.10493457 -1.489751   -2.309245  ],[100403.04   89840.266  69834.555  70906.92 ],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-714.2674 1015.8627 -292.5839 -292.5839],1.1818867324198404e-07,123.31551584839143
1377,4,[55665.156 35509.035 20589.432  9953.366],[-0.5442726  -1.2286633  -0.7532912  -0.25138068],[-3.073986   -0.30135575  0.24539438 -3.0089438 ],[64115.63  65857.59  26712.66  10269.514],[ 1 -1 -1  1],[11 11 11 11],[   0.        0.     1231.7644    0.    ],[-879.4166   863.5887   895.00366 1585.6663 ],1.895160800882975e-07,127.34446832713296
1378,4,[60992.63  32959.32  28283.324 14401.958],[1.704558 1.095236 0.566798 1.051734],[-0.75158507 -1.4270419   1.312146   -0.7368996 ],[173243.69   54784.137  32949.41   23129.127],[-1  1  1 -1],[11 11 11 11],[   0.     1651.4476    0.        0.    ],[1092.5685   -81.11624  875.6483  4180.259  ],1.5294685267936706e-07,122.31020935429117
1379,4,[45334.508  32901.19   18999.734   7540.4326],[1.8169785  0.85226804 0.5870766  0.74756634],[ 2.3532667  -0.60268164  0.3405019   0.98721224],[143160.8    45591.277  22369.076   9747.411],[ 1 -1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[-449.77094  2702.5715    558.6351     19.953308],1.144301408411026e-07,115.99104542582374
1380,4,[58419.176 40537.125 39909.67  22655.959],[1.8760072 1.574223  1.2404464 0.7207424],[-1.436903  -1.2254725 -2.6842203 -2.923516 ],[195137.33 102035.15  74759.1   28799.69],[-1 -1  1  1],[13 11 13 11],[0. 0. 0. 0.],[-431.27728  361.26083 -669.9837  4418.616  ],1.189529336470731e-07,122.52109734836613
1381,4,[68615.07  52726.973 30210.783 18975.797],[ 0.42460734 -0.6727222  -0.09492559  0.3901827 ],[ 0.6518484  -0.44373783 -0.3413049  -0.8233357 ],[74893.914 65114.7   30347.182 20438.951],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 659.0675  -471.98083 -640.1938   157.20001],1.6766327756982168e-07,125.55022829722581
1387,4,[92949.64  22524.418 12390.921 11287.068],[ 0.79057753  1.7274354  -0.12813914  1.1791557 ],[-2.34797    1.6981456  2.6280482 -2.8302748],[123541.79   65365.25   12493.234  20086.553],[-1  1  1 -1],[11 11 13 13],[1338.3914    0.        0.        0.    ],[-304.2527  1266.7825  1008.7253  -416.25226],1.6683125866182962e-07,120.15106618089332
1388,4,[48286.03  32259.53  28436.242  9510.017],[-1.0512595  -0.42364538  0.3298059  -0.61820805],[-0.44151905  0.26302877  2.3338273   1.8488028 ],[77517.19  35197.98  29996.844 11385.911],[ 1 -1 -1  1],[11 11 11 11],[   0.        0.     1046.2747 2464.687 ],[ -851.1618  -1371.1289   -813.0865    515.69336],1.5641643878190357e-07,124.81319984531004
1389,4,[37986.008 32544.98  14510.314 13379.979],[ 0.2094724 -0.8397832  1.2262307  1.2415763],[-0.4491383 -1.6633877  2.2835653  0.266958 ],[38822.45  44711.543 26857.02  25087.414],[-1 -1  1  1],[11 13 13 11],[0. 0. 0. 0.],[ 340.6812  -354.45084 -354.45084 -157.49622],1.583241143458557e-07,124.59545709510512
1391,4,[42187.332 37971.086 19336.334 18069.977],[-0.6378902  -1.708768   -1.0545865  -0.75318384],[2.858645   0.17614028 0.04584466 1.8352225 ],[ 51065.445 108279.164  31123.21   23442.562],[-1  1  1 -1],[11 11 13 13],[4974.8525    0.        0.        0.    ],[-339.54428  148.61334 -882.6269  5151.654  ],1.7133803767913818e-07,124.68042890755156
1392,4,[31311.035 20057.115 18575.969 18229.303],[1.8133117  2.1132033  0.17172019 0.04580425],[-2.2300375 -1.7310052 -2.0084915  1.4930594],[98533.164 84195.31  18850.525 18248.43 ],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 610.0185 1065.5035 -692.3077 1033.9679],7.571397603060405e-08,116.18927752651464
1393,4,[148032.55 141531.6   33565.19  26466.66],[1.296049  1.007518  1.2633028 1.8842334],[1.9224052 2.4501264 2.3172178 2.0223122],[290768.4   219651.33   64106.215  89103.35 ],[ 1 -1  1 -1],[13 13 11 11],[     0.    27463.32 142503.14      0.  ],[  83.29065  119.19751 2086.9514   551.3672 ],8.848013259545008e-08,119.2938497512749
1394,4,[63335.07  52592.945 23192.424 12611.317],[-0.8427593  -0.27717167  0.5850555   0.12400514],[-2.9051998  -2.2302625   3.0118594  -0.07839259],[87189.92  54626.22  27276.414 12708.845],[-1 -1  1  1],[13 13 13 13],[   0.        0.        0.     1470.1792],[-389.2433  -250.38428 -682.65845 1465.5537 ],1.263222987042872e-07,125.61183311316292
1395,4,[72134.57  27881.217 26716.096 10622.856],[ 0.4991103   0.6297689  -0.76606476  0.7986268 ],[ 1.4181608  0.7268022 -3.092828   0.9566957],[81307.41   33595.355  34946.29   14194.4375],[ 1  1 -1 -1],[11 11 11 11],[    0.     10208.096   2355.0696 21281.186 ],[ 1195.7422  -1037.4302    -52.35498  -749.35754],1.466109601617813e-07,124.39472155344485
1396,4,[148780.4    69904.625  42363.95   33256.586],[-1.113418   -0.77671504 -1.4532512  -1.3759265 ],[ 0.9071409   0.08432727 -2.8532934  -2.5582573 ],[250931.72  92072.57  95547.84  70027.61],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[1272.2642     90.54999   -80.137024  185.0434  ],1.646472026432673e-07,271.8928496584993
1398,4,[98383.164 41581.938 15330.556 12733.677],[-0.7271359  -2.0210364   0.00266965 -0.63834214],[1.1847084 1.2135566 1.2994205 2.0712209],[125558.414 159646.77   15330.975  15417.704],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-1087.1855    -732.7873    -438.1737      41.459595],1.6686335434670765e-07,122.6186665984443
1399,4,[46670.047 46204.48  45284.637 25309.955],[-0.5070915  -0.401749   -1.7247976   0.01223328],[-2.7231693   1.1979831   0.07971202 -2.5831003 ],[ 52800.145  49983.656 131089.84   25311.85 ],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 223.97595 2583.5566   882.25104  764.52875],1.5207541652442932e-07,198.1340172997031
1400,4,[136910.86   54921.445  19847.94    8855.735],[-0.17081463 -0.11178843  0.02832692 -1.8629688 ],[-2.517836   -2.7179797   3.056275   -0.26363865],[138913.12   55265.07   19856.184  29215.47 ],[-1 -1  1  1],[13 13 13 13],[ 56695.836 136806.3        0.         0.   ],[2207.1523  -537.862   -537.862    364.78842],1.334817392528216e-07,124.7301556142126
1402,4,[64509.137 29213.81  13602.264 10423.318],[1.1354314  0.17626697 1.2565682  0.11011105],[-2.3398006  1.7885405 -0.5925093  0.7781483],[110755.72   29668.824  25830.73   10487.103],[-1  1  1 -1],[11 11 13 13],[   0.        0.        0.     1810.6514],[1888.9773  -950.3862  -683.16    -345.85333],1.597835570692698e-07,125.92517731725738
