entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
64,4,[60128.805 26386.492 26177.541 24427.207],[-0.54135144  0.42916065 -0.7208527  -0.36473602],[ 2.5898638 -2.4763618  1.9156566 -1.4567683],[69156.805 28853.934 33278.5   26070.104],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[-400.15463 1651.0887  -275.45758  424.17188],2.7229730919342605e-05,125.33841795831384
65,4,[69176.79  32680.455 18969.125 10516.762],[ 0.44881102 -0.05056667 -0.49934712  0.49713844],[-2.1711884   1.8353512  -3.0642781   0.02561266],[76261.71  32722.246 21383.89  11843.812],[-1  1 -1  1],[11 11 13 13],[   0.       0.       0.    4268.732],[ -268.63055 -1075.8693   1700.1545  -1020.85846],2.8129780092233e-05,125.27253656730693
67,4,[67608.34  32735.41  18195.586 10248.159],[-0.3447775   0.00192817 -0.33090875 -0.39792156],[-0.4691861 -3.0265255  0.6992462  1.8286512],[71666.664 32735.47  19200.924 11070.276],[ 1 -1  1 -1],[11 11 11 11],[   0.       0.       0.    1585.046],[ 613.85266 -561.56604 1999.5071  1000.5057 ],2.6410017394955698e-05,123.64854600468135
68,4,[57114.516 55128.344 38309.277 33636.3  ],[-0.85270983 -1.0336273  -0.8247991  -1.1293261 ],[-2.9775388  1.5018585  2.5649626  2.8435745],[79167.97  87294.6   52095.742 57464.63 ],[ 1 -1  1 -1],[11 11 11 11],[1318.83    0.      0.   1318.83],[ 288.71765 -101.47421  -30.1633  -488.24377],2.5127761141762358e-05,122.14625719701723
72,4,[54398.484 43079.996 22300.676 17135.398],[0.30911568 0.6157176  1.4087714  0.4860392 ],[-1.7465441  2.3669884  2.7899818 -2.4147336],[57018.297 51507.36  48340.953 19199.832],[-1  1 -1  1],[13 13 13 13],[   0.     1701.0883    0.        0.    ],[ 483.73547 -933.55164 -811.27795  220.72961],2.2900803915388294e-05,124.08626509613484
74,4,[57434.887 18982.492 16484.303  7409.436],[ 0.81668866  0.96785855 -1.0731138   0.2748354 ],[ 2.5404267  0.9966277 -1.2505699 -1.5243603],[77677.49   28589.7    26922.482   7691.7617],[-1  1  1 -1],[13 13 13 13],[1151.3296  1003.25226 1748.1555     0.     ],[1689.9209  -594.2182    -7.95636 -106.74237],3.1407644767837834e-05,123.46908908402172
76,4,[91041.03  31715.793 18764.336 16326.507],[ 0.6069694 -0.7998801  0.1897659  0.0122297],[-1.1472827  -0.13836446 -1.310103    0.6683681 ],[108332.56   42414.434  19103.506  16328.069],[ 1 -1  1 -1],[11 11 13 13],[   0.        0.        0.     1829.5682],[ 784.8602  1277.4595  -497.59277 -124.03943],1.867264908520253e-05,130.02582105332397
79,4,[54583.727 42374.574 25453.258 17382.787],[-2.6581204 -2.063813  -2.382821  -2.145769 ],[-1.8182749  2.1393619 -1.804147  -2.3162186],[391352.3   169560.03  139073.05   75316.125],[-1  1  1 -1],[13 13 13 13],[22740.371      0.      1936.1027  3252.509 ],[-574.80176  620.95483  252.25598  105.49536],0.0,122.41835054918576
82,4,[49340.11  41632.016 26399.898 16244.446],[-2.3951654 -1.2468759 -1.9228307 -2.4125419],[-0.60716677  1.328593    1.0252373   1.9113271 ],[272879.7    78410.92   92221.266  91390.33 ],[-1  1  1 -1],[11 11 11 11],[   0.        0.     1042.5713    0.    ],[ -527.69324 -1202.5      -644.18304  -339.28806],2.0654408607776547e-05,129.82235778561238
83,4,[64685.973 46503.434 34845.477 14315.826],[-1.5089827  -1.1347406  -1.077011   -0.60302037],[-2.9866648  1.9044951 -2.6161954  1.4773276],[153411.31   79796.984  57085.656  16998.52 ],[ 1 -1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-126.11398    57.679688  317.65192  1067.4407  ],2.7951819473800253e-05,122.85478774428164
