entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
3434,2,[78810.336 77945.3  ],[-0.15277153  0.20479648],[-1.0578389  2.3506825],[-178.26697 -425.87805],[1354.9116    0.    ],[ True  True],157.89328232381789
3540,2,[194135.39  38674.46],[-0.5763575 -0.7267255],[-2.8350039  2.1344554],[-1315.2001  1682.1785],[   0.     1660.8746],[ True  True],106.62273988752116
3640,2,[79355.24 44641.4 ],[0.61738193 0.44647837],[0.86294824 2.8942041 ],[ -83.25339 -742.13086],[3443.6223 1543.2185],[ True  True],101.67151081294361
3680,2,[42538.812 39201.23 ],[2.026345   0.55852157],[ 0.7447349 -2.5727038],[3346.769    416.77966],[12683.256     0.   ],[ True  True],104.42639214685154
3752,2,[61896.07 41081.06],[-0.34227145 -0.5320769 ],[ 0.59995264 -2.6871135 ],[-546.4946 -529.1582],[1224.7109    0.    ],[ True  True],101.04053109290008
3876,2,[57856.633 35826.246],[-0.23174381  0.9576344 ],[-2.1216178  1.0420032],[1316.2113   457.62723],[0. 0.],[ True  True],107.63235970608171
3895,2,[51228.234 31078.162],[2.3546765  0.83463323],[ 1.7273794 -1.5680642],[-171.2514 -467.4351],[6373.6313    0.    ],[ True  True],103.79980857858274
3940,2,[71953.97 33766.35],[ 0.09665067 -1.0841025 ],[-0.12662965  2.338267  ],[-671.8799  -164.61594],[0. 0.],[ True  True],111.56774430040862
3998,2,[42674.85 31695.19],[ 1.1251894 -1.0889796],[ 2.9371753  -0.58232486],[ 891.4434 -527.1832],[0. 0.],[ True  True],122.65142258462815
4090,2,[58626.63 56215.56],[-0.9082432  -0.05286082],[-2.909889   -0.01280057],[ 216.79169 1272.7659 ],[   0.     3254.7632],[ True  True],124.69542440470038
4102,2,[57989.906 38041.477],[-1.253966   -0.24639593],[-0.5063391  2.6437404],[ 221.03839 -269.07578],[    0.    11511.956],[ True  True],106.1106468243577
4139,2,[79431.3  31181.09],[2.2767005 0.5831394],[-2.5874505  0.5705192],[-546.01636 -183.34015],[17570.033     0.   ],[ True  True],137.40027945848036
4179,2,[43717.28 38574.52],[-1.7316216  0.5322974],[3.1094637 0.4177524],[185.6586   -41.703735],[0. 0.],[ True  True],139.41506108739492
4312,2,[61438.96 55788.87],[-0.04650088  0.7595634 ],[ 1.5596179 -0.1750479],[ 3851.565 -2187.114],[1858.8956    0.    ],[ True  True],101.60630203495076
4326,2,[81672.32 80784.67],[-0.1278766 -1.2164924],[2.194098  1.4691167],[-303.87817 1665.7294 ],[    0.    13490.818],[ True  True],109.27465243569723
4491,2,[60917.38  45802.113],[1.0144522 1.1910273],[-0.3836326  3.094547 ],[-578.368    -78.27203],[0. 0.],[ True  True],104.5689888750441
4547,2,[56260.223 44116.94 ],[-0.9586153  -0.34839272],[-2.4348054  0.7983349],[-404.99457  464.65076],[   0.    3120.553],[ True  True],104.21422138064912
4690,2,[92261.32  47928.184],[-1.1402705 -2.0207405],[-0.7456191  2.7161698],[-346.904   -885.35803],[0. 0.],[ True  True],144.54556712068938
4697,2,[70189.4  45261.36],[0.75072914 1.0144618 ],[ 1.4192425 -1.8977661],[3545.5027 2762.1992],[5517.1675 2114.7244],[ True  True],113.27937450201043
4737,2,[69557.95 43338.53],[0.680105  0.3167356],[ 0.6690954 -2.69327  ],[-612.1609 1111.8137],[    0.    28132.938],[ True  True],110.96960944010175
4916,2,[45156.926 37903.688],[ 1.2983992  -0.04333114],[-0.3560969  2.669805 ],[-789.22217 -289.82074],[3196.9026    0.    ],[ True  True],101.95978440243334
4926,2,[45203.28 39278.48],[0.2653241 2.213308 ],[ 2.6346154  -0.66640425],[-150.8551 1433.9326],[1296.7329    0.    ],[ True  True],127.33237743581837
4990,2,[60721.43  44571.723],[-0.03546525  1.3562932 ],[-2.8052602   0.28242177],[3182.1628    -13.977234],[0. 0.],[ True  True],130.24258571624387
5036,2,[67165.3   32449.139],[ 0.15720835 -1.9484212 ],[-0.85305953 -2.191891  ],[846.6135  315.90356],[0. 0.],[ True  True],131.00231155115452
5072,2,[52418.184 39829.812],[ 0.21809067 -0.8060604 ],[ 0.8732881 -1.9964371],[  13.970032 3865.8445  ],[   0.     1557.5991],[ True  True],102.8880904037728
5115,2,[73559.4 49417. ],[ 1.094752   -0.07931515],[ 2.89653   -1.1759713],[1290.9514 3522.0957],[2474.2627 8948.042 ],[ True  True],131.2426659119578
5252,2,[71452.375 55910.613],[-0.40742317 -0.2696683 ],[ 2.097106  -1.2076668],[ -923.9908 -1214.0576],[   0.     3835.7368],[ True  True],126.29162040637571
5343,2,[83095.664 42108.684],[2.3035443 1.0840495],[-2.006862    0.29473594],[1253.6095 2409.6458],[ 7544.6694 10027.404 ],[ True  True],132.47827824121643
5381,2,[47460.555 33791.336],[ 1.0005398  -0.95099044],[-0.36321178  2.8220687 ],[1407.8877 -543.5941],[   0.     1457.0254],[ True  True],121.33356303320099
5394,2,[56216.29  40143.977],[ 0.3105962 -1.5490475],[ 1.625106  -0.7573521],[-549.3268 1409.7906],[0. 0.],[ True  True],134.60031039441904
5450,2,[58822.984 51744.652],[0.7282736 1.6228805],[-0.89873695  2.186309  ],[1238.0969   192.65851],[0. 0.],[ True  True],121.5246057307571
5534,2,[49586.562 30067.47 ],[ 0.19337712 -1.6493974 ],[-0.93776214  1.7052256 ],[1972.5559     27.599625],[0. 0.],[ True  True],110.76476416343334
5571,2,[80767.66  72522.055],[-0.59181625 -0.47804555],[-2.3846848   0.31324032],[1368.1104 1481.8279],[0. 0.],[ True  True],149.5708887818826
5600,2,[57235.492 41919.695],[ 0.12448059 -1.1144881 ],[-3.057922    0.55521417],[-668.20667 1100.9231 ],[0. 0.],[ True  True],115.11921130928503
5779,2,[42830.723 38315.367],[-1.1767417  1.2116001],[1.599374  2.5726676],[1436.8867   837.78534],[0. 0.],[ True  True],127.21768320556788
5786,2,[60748.766 43000.63 ],[-1.9275268 -1.584218 ],[-1.8927411  1.765135 ],[-177.2645   -82.48291],[   0.    1525.476],[ True  True],100.39371927672249
5840,2,[43565.188 34813.12 ],[ 1.5234929 -0.5509178],[-2.8728366   0.32083362],[-1353.7216  2784.256 ],[ 7515.943 20115.883],[ True  True],123.6605779072722
5842,2,[82668.336 37354.176],[ 0.0410163  -0.68264705],[-0.69147027  2.0024548 ],[3470.424    407.30603],[5523.212    0.   ],[ True  True],115.89828234313867
5920,2,[56368.42  49474.793],[-1.5375813  -0.43667462],[ 2.895488   -0.45905405],[ 184.96082 3333.1797 ],[1012.4295 1268.1716],[ True  True],121.51043070523431
5939,2,[56624.28  46625.746],[1.2893716 2.255166 ],[ 0.5560526 -2.6202679],[-1249.2236  3674.0217],[0. 0.],[ True  True],114.96742028608955
5992,2,[155754.11   30077.787],[ 0.55009717 -0.531623  ],[ 2.6129048 -1.1289576],[-355.42596 -663.8379 ],[    0.    11111.673],[ True  True],152.11352214510913
6155,2,[45574.836 37596.504],[-0.21860136  1.7270793 ],[-0.8059301  3.0628877],[1616.6162 -685.0207],[0. 0.],[ True  True],121.63979839665869
6169,2,[67934.16  33710.484],[1.235458  2.2321005],[ 1.8067874 -2.1561694],[792.93286   24.567108],[   0.     1659.9097],[ True  True],100.84489907933168
6258,2,[56799.566 49966.06 ],[0.81260824 0.09971055],[ 0.0657656 -2.9957578],[3088.3286 -852.0261],[ 9103.661 17157.09 ],[ True  True],113.30715098681446
6291,2,[51832.92  37666.336],[-1.5699215   0.74855286],[-1.7444873  1.7231187],[ 562.1781  -413.06793],[6181.3354    0.    ],[ True  True],154.03717114763714
6305,2,[45010.95 31750.98],[ 1.5456842  -0.17929746],[-3.1014612 -0.3302382],[3232.7612 1464.9808],[0. 0.],[ True  True],104.5947136059833
6320,2,[56453.73 45305.66],[ 1.182768   -0.60612845],[ 2.8158166 -0.2504323],[2175.2703  444.7273],[0. 0.],[ True  True],144.3277651608889
6389,2,[60193.926 54035.75 ],[0.37057    0.37009585],[-1.199359   1.9259043],[ 623.5835 1876.7808],[0. 0.],[ True  True],114.05976125072685
