entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
4081,2,[67981.39  44002.766],[-0.49084446 -2.0726128 ],[2.4463153  0.07091926],[1748.0273   815.76044],[0. 0.],[ True  True],139.5514544061257
4111,2,[66997.31  48371.812],[-1.6922287   0.02844802],[-1.053385   2.0423841],[-1012.92303  3387.1396 ],[   0.    8802.137],[ True  True],158.63532866553356
4142,2,[54795.168 53838.695],[-0.8537392  -0.11044548],[-0.8308021  2.0663857],[ 733.3517 -609.2798],[0. 0.],[ True  True],115.4615972665252
4234,2,[50838.2  33017.38],[-1.2706267  0.392161 ],[ 1.285707  -1.8562807],[-84.59189 147.32443],[1313.3417 1513.6782],[ True  True],111.9284821525043
4241,2,[55445.758 53488.164],[ 0.60863435 -0.81003666],[ 1.0486015 -2.6801329],[1922.2805  -346.12265],[9318.581    0.   ],[ True  True],133.82440468699326
4247,2,[55339.863 39222.277],[-0.60932434 -1.7731514 ],[ 1.7645273 -1.8111928],[ 301.61737 3033.9038 ],[    0.    15530.223],[ True  True],107.54875386711946
4332,2,[53538.03  30021.984],[ 1.3267852  -0.17708799],[ 1.8796195 -1.3011202],[ -637.68677 -1749.4495 ],[0. 0.],[ True  True],103.92729108357281
4349,2,[47158.67  46345.297],[-0.19403157 -1.0671175 ],[-1.3498873  2.12081  ],[873.7064  393.45898],[2039.8851 2764.015 ],[ True  True],101.40177499077711
4386,2,[58143.61 49802.65],[-0.649109  -1.9172527],[ 0.90335345 -2.2114556 ],[1452.8784   162.14673],[0. 0.],[ True  True],129.98503331207937
4387,2,[46585.14  31479.059],[ 0.6561558 -1.0379014],[0.16676188 3.1099064 ],[1849.2649   162.37317],[7159.723  1576.5267],[ True  True],105.47315681162239
4566,2,[93414.77  48212.008],[-0.04547125  0.8474086 ],[-2.3008425   0.45285574],[1776.2313 -881.6626],[    0.    12399.702],[ True  True],145.53747778774493
4577,2,[88192.48  46986.613],[ 0.36293355 -0.589872  ],[-2.0831485  1.4033638],[404.96802 285.8517 ],[7614.191  1149.0671],[ True  True],141.92482522372612
4586,2,[50027.727 44562.184],[1.9208649  0.00603725],[ 1.3753263 -2.0543096],[1703.6383  599.0204],[0. 0.],[ True  True],140.46832494612562
4699,2,[58274.492 42569.844],[ 1.2600267 -0.7046899],[-1.9789555  2.1313877],[-392.15387 1764.788  ],[ 1135.3832 10811.661 ],[ True  True],144.40373600147976
4776,2,[65024.703 34258.44 ],[ 0.6832147 -1.0407939],[ 2.1537013 -1.8490659],[-788.28143     -5.4909363],[0. 0.],[ True  True],125.66003946016367
4921,2,[71720.04  61546.438],[0.03190216 1.0989047 ],[ 2.145111  -0.8104469],[1052.6158   194.48007],[1633.3998    0.    ],[ True  True],151.73931644314183
4949,2,[63420.78  45926.004],[-0.43001297 -1.0807877 ],[-0.17669292  2.6600645 ],[ 478.4336 -427.6368],[0. 0.],[ True  True],112.5156552137122
4977,2,[63416.15  59597.266],[0.72103566 1.046586  ],[ 0.9222983 -1.7538176],[-111.63281  200.9307 ],[0. 0.],[ True  True],121.31618857783347
5011,2,[59157.67 54231.39],[ 0.06665304 -0.8011049 ],[-0.57630086  2.6400392 ],[ 143.70648 -775.8733 ],[0. 0.],[ True  True],124.04084727707897
5182,2,[50736.21  40733.605],[2.2874608  0.54114795],[ 2.3738642 -0.6558227],[ 271.0213  -643.73395],[   0.     1646.2389],[ True  True],127.73813685706082
5212,2,[79177.19  37774.688],[-0.64780474  0.38890982],[-1.8358411  1.0114455],[1056.4119   159.24817],[1918.5372 7633.9995],[ True  True],123.36672121563548
5316,2,[55869.645 51089.55 ],[-0.14182137  1.0720211 ],[-2.3623762   0.71726644],[ 765.65576 2974.6653 ],[0. 0.],[ True  True],127.1005232078803
5350,2,[47500.78 30145.79],[-0.32742137 -2.0485578 ],[ 3.035466   -0.25510156],[-164.40381 -146.75623],[0. 0.],[ True  True],105.32875985746789
5371,2,[74063.375 34316.44 ],[-1.1139193 -0.7232214],[-0.74725163  2.5231586 ],[ 404.18506 -698.23346],[ 1942.64  11093.666],[ True  True],102.55325495001954
5375,2,[62669.984 45119.61 ],[-2.3590288  -0.62955934],[ 1.9228826 -1.0606526],[1762.2101  871.4147],[   0.     2390.0518],[ True  True],148.4172149593501
5391,2,[51600.54  44741.074],[-1.300697   -0.60123444],[-2.9018993   0.23667186],[ 558.36646 -483.04327],[0. 0.],[ True  True],102.03406377049728
5418,2,[89239.46  50330.855],[1.8089201  0.73379624],[ 0.47402406 -2.554506  ],[497.30798 379.86386],[0. 0.],[ True  True],153.68825617639524
5453,2,[67529.39  31105.422],[-0.30174178 -2.20221   ],[ 1.8853531 -1.3017751],[292.74158 695.5198 ],[0. 0.],[ True  True],136.23960816227668
5530,2,[76433.39  50800.043],[-2.2014737 -1.2103785],[ 0.37817642 -2.4312305 ],[2250.5317     12.968628],[   0.     3847.8975],[ True  True],138.72029445756664
5599,2,[102542.695  47175.305],[-0.772126  -1.7247927],[-2.0863903  1.2525221],[-595.0734  -865.91345],[16152.621   1055.5461],[ True  True],154.5795121992141
5654,2,[73135.83  46831.625],[1.1525537 2.102597 ],[ 0.10652237 -2.0736785 ],[-886.29724 -442.57584],[0. 0.],[ True  True],118.75207198227514
5686,2,[93516.92  55809.773],[0.45774934 0.03516373],[-3.0954254   0.30830663],[-896.0791 -697.0836],[1168.7596    0.    ],[ True  True],146.51286464899007
5819,2,[62715.406 53340.996],[-1.0357691 -0.5674399],[-0.8486989  2.3180761],[-272.96692 -139.86554],[0. 0.],[ True  True],118.85423686236834
5938,2,[79450.43  37946.438],[1.0148833  0.27142096],[-0.20509706  2.370695  ],[-150.45642 1234.8795 ],[0. 0.],[ True  True],113.42124178674563
5993,2,[44292.703 40939.316],[0.8442005 2.0988057],[ 2.6492026  -0.10957802],[-525.3367 2321.7295],[1459.3937    0.    ],[ True  True],101.19069737563035
6250,2,[70596.5  69652.63],[0.02176298 0.33320817],[1.1047454 2.7567377],[1418.1411 -586.503 ],[0. 0.],[ True  True],105.41791202497416
6282,2,[59876.68 46104.01],[-0.23347658 -1.9211109 ],[-1.3037763   0.40757966],[-887.8811 1622.3865],[0. 0.],[ True  True],127.31652836346035
6292,2,[69364.32 53247.22],[-0.26630762  0.15857048],[ 0.23563041 -2.8748393 ],[258.23865 375.6611 ],[   0.    2310.756],[ True  True],124.28632306400635
6321,2,[128567.64   32109.148],[-0.48497483  0.5558845 ],[ 1.2937093 -2.1108794],[-340.75458  382.1163 ],[   0.     3239.1467],[ True  True],145.3271726785508
6343,2,[66550.445 39494.45 ],[-0.54028946  1.0924487 ],[-0.3144137  2.7047186],[-453.0852    36.06955],[0. 0.],[ True  True],138.5013224122205
6354,2,[59183.824 46833.125],[0.25151   0.6526031],[ 1.0046362 -1.5091099],[ 556.74536 -708.1778 ],[   0.     1563.5638],[ True  True],102.38061788157272
6450,2,[72172.43  58036.934],[1.2742649 0.7557026],[ 2.811768   -0.39903307],[-344.50043   24.4151 ],[0. 0.],[ True  True],133.7401966566763
6505,2,[62486.086 40861.973],[-1.1521082 -1.7882931],[ 1.5355188 -1.7743877],[-600.6382   173.44153],[1372.7031    0.    ],[ True  True],105.87627523626985
