entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
3076,2,[69739.516 38063.203],[0.0799576 1.5407636],[-1.4482981  1.5291154],[-322.43585 2126.7527 ],[    0.    13824.182],[ True  True],131.50296863545
3082,2,[76449.51  49333.945],[-0.68297017  0.06467838],[ 1.6447539 -1.2279577],[-1281.9243  1991.1561],[0. 0.],[ True  True],130.47398299749793
3103,2,[64303.06 56250.97],[-1.7554281 -1.8410174],[-0.42224064  2.1419218 ],[1415.991   -131.80853],[0. 0.],[ True  True],115.42120262034358
3118,2,[63193.637 49365.773],[-0.64680034 -0.81300473],[ 0.50311005 -2.3346255 ],[-690.353    157.62357],[1157.1086 4363.6606],[ True  True],110.81048886587612
3143,2,[65178.625 64427.414],[-2.2132685 -1.3641304],[-2.2624383   0.39916867],[ 114.96954 1317.4893 ],[0. 0.],[ True  True],138.0664086416936
3147,2,[63665.367 40354.79 ],[-0.41839266  1.2691102 ],[ 0.5938252 -2.9762406],[1218.6489 -653.8109],[0. 0.],[ True  True],137.97887231824143
3160,2,[89748.82 47142.93],[0.9562127 1.1267955],[-0.42157668  2.8244677 ],[-1322.1912  1761.0853],[0. 0.],[ True  True],130.38936053444507
3171,2,[93636.125 30152.572],[-0.6635873  1.3323705],[-2.896716  -2.8273711],[-300.2704   653.54034],[0. 0.],[ True  True],124.61285164749145
3204,2,[54590.656 47917.367],[-2.0592027 -1.9252063],[ 2.8512294  -0.21225469],[-616.258    378.79663],[    0.   16052.42],[ True  True],102.44241764425618
3247,2,[79181.4   41328.805],[0.7034762  0.57167745],[-2.6262782  0.7610196],[ 762.32654 3484.8735 ],[   0.     1102.2386],[ True  True],113.79915664551068
3253,2,[79673.2   71689.195],[-1.7096516 -1.365113 ],[ 1.7082521 -1.3855273],[1684.7153 1464.6617],[ 2498.4265 15024.615 ],[ True  True],153.35751879860112
3269,2,[56110.31  42107.164],[0.3690486  0.86290526],[ 2.5649652 -0.6319791],[2858.1414  972.9613],[7386.174 2157.02 ],[ True  True],100.1568298234213
3273,2,[53334.38  41160.023],[1.1806265  0.00547707],[-2.583288   0.6726499],[465.14987 986.08496],[0. 0.],[ True  True],110.22352919851691
3280,2,[52088.652 37712.96 ],[ 1.6104765  -0.13900961],[ 1.1503819 -0.9710592],[1058.1318 2398.0308],[   0.     1419.6001],[ True  True],117.02941557558032
3332,2,[54004.664 43183.3  ],[-1.0613184  -0.15601204],[ 1.2481605 -1.6406189],[-422.32648 1196.4945 ],[0. 0.],[ True  True],105.95110801137605
3365,2,[54456.18 50360.93],[0.5654298 1.7219105],[-2.612607   0.8769352],[833.4424 593.9137],[0. 0.],[ True  True],121.39413119318519
3394,2,[58260.117 33499.027],[ 0.94757676 -1.2943612 ],[ 2.2410064 -0.6539197],[1527.2952  -696.93317],[0. 0.],[ True  True],149.53482682771423
3564,2,[61751.47 32203.52],[-0.22410767  1.0266916 ],[-1.8739092  1.4406424],[1002.16345 -817.4325 ],[1767.6827 2461.1582],[ True  True],106.92837435560202
3680,2,[71619.984 68399.32 ],[1.2142867 2.1455247],[-1.834569   1.0293797],[-838.88605  -100.151184],[0. 0.],[ True  True],154.22085013268494
3859,2,[71742.04  58698.113],[-0.06629719  0.84239185],[ 0.9650942 -2.080961 ],[614.7832 822.6821],[   0.     1374.8354],[ True  True],143.2802139770678
3865,2,[56179.598 54877.773],[-2.0479803 -2.2374647],[3.0678964  0.24815217],[-379.2695     17.532143],[0. 0.],[ True  True],110.12020213868631
3920,2,[65499.55  65155.742],[-1.2583525 -0.1798322],[3.117537   0.06136595],[1510.5552   226.75848],[51685.22     0.  ],[ True  True],150.01331594937042
3942,2,[86925.81 62944.8 ],[1.2292722 0.9179285],[-1.5841426  1.5473384],[556.3552  252.12082],[   0.     1113.1991],[ True  True],149.73387298552288
3994,2,[66035.76  38177.297],[-1.5385293 -0.9283931],[2.9643269  0.20738848],[-57.585083  30.208557],[0. 0.],[ True  True],103.3625433720101
4010,2,[81987.36  40273.246],[-1.8379428 -0.6982415],[-0.17639907  2.7719626 ],[2337.5923   820.69604],[    0.    10754.631],[ True  True],133.6353244734913
4012,2,[44471.3   41604.996],[ 0.20720014 -1.5285934 ],[ 3.1071215 -0.8902202],[-985.4072 3171.5496],[0. 0.],[ True  True],115.10636632719118
4089,2,[69435.38 41875.2 ],[0.44182125 0.9514131 ],[-3.0114422  0.6809867],[ 257.73273 1800.0283 ],[2575.4387 4800.649 ],[ True  True],107.43312831981807
4099,2,[83751.555 68122.38 ],[-0.8282284 -1.1549165],[ 2.306951  -0.6979218],[3999.978  -727.4038],[1681.8804    0.    ],[ True  True],152.73925849891037
